date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:53	97/97	---M-Z	200	added ('OK')	text/plain	etag:%2271929defa13d054ddb0edcece8cad717%22	https://revana.framer.media/robots.txt		(from )
23:42:53	536985/536985	---M-Z	200	added ('OK')	text/html	etag:%2237365f9cc246a872209993a3e909b5cc%22	https://revana.framer.media/	C:/Users/Faris/Desktop/Websites/Test%2001/revana.framer.media/index.html	(from )
23:42:54	206/206	---MC-	200	added ('OK')	image/png	etag:%22dc4b055c636e649ac0c5c4788a50b40a%22	https://framerusercontent.com/images/V8MU8YCMQRqxtevH4lyZVqGarA.png	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/V8MU8YCMQRqxtevH4lyZVqGarA.png	(from https://revana.framer.media/)
23:42:54	248997/248997	---MC-	200	added ('OK')	image/jpeg	etag:%2293120dd5303c3d1e5dc1f7b98776691c%22	https://framerusercontent.com/images/TVmOECqaylVELOjBp3GpIkXwzc.jpeg?width=2400&height=1350	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/TVmOECqaylVELOjBp3GpIkXwzc7ecb.jpg	(from https://revana.framer.media/)
23:42:55	95254/95254	---MC-	200	added ('OK')	image/jpeg	etag:%226c4c319b503500a5069a98b55aa75de7%22	https://framerusercontent.com/images/gOi8RRN6gm63ZSNiafMOAGTjCw4.jpeg?scale-down-to=1024	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/gOi8RRN6gm63ZSNiafMOAGTjCw4bf23.jpg	(from https://revana.framer.media/)
23:42:55	73562/73562	---MC-	200	added ('OK')	image/jpeg	etag:%229996e21370eb7e341f6ba57690f8e76f%22	https://framerusercontent.com/images/ci72VQy0ylEs9EyxtuTSsvrt2FU.jpeg?width=676&height=1200	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/ci72VQy0ylEs9EyxtuTSsvrt2FUcdcf.jpg	(from https://revana.framer.media/)
23:42:55	89991/89991	---MC-	200	added ('OK')	image/jpeg	etag:%22c1239e35c437bb7fd1f51339576add49%22	https://framerusercontent.com/images/hDLlxRe1MZ4E7ZysGXNW40MXBtM.jpeg?width=676&height=1200	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/hDLlxRe1MZ4E7ZysGXNW40MXBtMcdcf.jpg	(from https://revana.framer.media/)
23:42:55	194077/194077	---MC-	200	added ('OK')	image/jpeg	etag:%2263e964be97e1cf36b17ed7003a44717c%22	https://framerusercontent.com/images/J6fdndgRdswuaC2xuJdmb3Ehq0w.jpeg?width=800&height=1200	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/J6fdndgRdswuaC2xuJdmb3Ehq0wdf7a.jpg	(from https://revana.framer.media/)
23:42:56	60770/60770	---MC-	200	added ('OK')	image/jpeg	etag:%2293060e530481585117f2ecacf26ab251%22	https://framerusercontent.com/images/kNFZjriD4tmMjtXQ4EwCP4iDhMU.jpeg?width=676&height=1200	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/kNFZjriD4tmMjtXQ4EwCP4iDhMUcdcf.jpg	(from https://revana.framer.media/)
23:42:57	298143/298143	---M-Z	200	added ('OK')	text/html	etag:%222f9edf74938a57aaa7f19458744b82b3%22	https://revana.framer.media/works/willow-house	C:/Users/Faris/Desktop/Websites/Test%2001/revana.framer.media/works/willow-house.html	(from https://revana.framer.media/)
23:42:57	389434/389434	---MC-	200	added ('OK')	image/jpeg	etag:%22e7dd9abf0b9cc8cb036e5495224cd676%22	https://framerusercontent.com/images/nLG3Mx7abt82bOzwzYQQaoW1fXM.jpeg?width=2399&height=1371	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/nLG3Mx7abt82bOzwzYQQaoW1fXMeb67.jpg	(from https://revana.framer.media/)
23:42:58	296925/296925	---M-Z	200	added ('OK')	text/html	etag:%220fd62bf613ca6dbff59b222d5ad5470c%22	https://revana.framer.media/works/terra-garden	C:/Users/Faris/Desktop/Websites/Test%2001/revana.framer.media/works/terra-garden.html	(from https://revana.framer.media/)
23:42:58	323096/323096	---MC-	200	added ('OK')	image/jpeg	etag:%22702b440534415a2a6a03d4927ef64853%22	https://framerusercontent.com/images/VzKuk7ACHo1MFSz2vbcmbtCCRU.jpeg?width=2400&height=1350	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/VzKuk7ACHo1MFSz2vbcmbtCCRU7ecb.jpg	(from https://revana.framer.media/)
23:42:59	297732/297732	---M-Z	200	added ('OK')	text/html	etag:%223eb556e87519bff94a8c22f43f066514%22	https://revana.framer.media/works/loft-line	C:/Users/Faris/Desktop/Websites/Test%2001/revana.framer.media/works/loft-line.html	(from https://revana.framer.media/)
23:43:00	315249/315249	---MC-	200	added ('OK')	image/jpeg	etag:%22e06e356ea382d6477b082f4c0c53b410%22	https://framerusercontent.com/images/WeEuTLvFfXgsaR4RnOlAQDS14c.jpeg?width=2400&height=1350	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/WeEuTLvFfXgsaR4RnOlAQDS14c7ecb.jpg	(from https://revana.framer.media/)
23:43:00	297806/297806	---M-Z	200	added ('OK')	text/html	etag:%2227d1cb4325c65f1edb72ad427f2b7559%22	https://revana.framer.media/works/stonebay-bath	C:/Users/Faris/Desktop/Websites/Test%2001/revana.framer.media/works/stonebay-bath.html	(from https://revana.framer.media/)
23:43:00	254582/254582	---MC-	200	added ('OK')	image/jpeg	etag:%2265aa3dc4f06d6c20cf9ae9e988eb84c8%22	https://framerusercontent.com/images/C64AufeBTPMa9oPozmduCo4rxsQ.jpeg?width=2400&height=1350	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/C64AufeBTPMa9oPozmduCo4rxsQ7ecb.jpg	(from https://revana.framer.media/)
23:43:00	114422/114422	---MC-	200	added ('OK')	image/jpeg	etag:%22dddc10fac7cfd6264ba86d20499a2135%22	https://framerusercontent.com/images/HoegPOFwXc9X3BusWubuSMLPN4.jpeg?width=1200&height=675	C:/Users/Faris/Desktop/Websites/Test%2001/framerusercontent.com/images/HoegPOFwXc9X3BusWubuSMLPN423fc.jpg	(from https://revana.framer.media/)
